epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,27954.8,0.17156,0.20362,0.11538,0.80895,0.99998,1,0.995,0.99492,0.99998,1,0.995,0.99418,0.08331,0.14354,0.05874,0.75784,0.001486,0.001486,0.001486
88,28270.5,0.17206,0.20404,0.11517,0.8109,0.99998,1,0.995,0.99492,0.99998,1,0.995,0.99422,0.0829,0.14361,0.05837,0.7578,0.001387,0.001387,0.001387
89,28588.2,0.17191,0.20352,0.11389,0.80986,0.99998,1,0.995,0.99493,0.99998,1,0.995,0.99423,0.08276,0.14398,0.05819,0.75771,0.001288,0.001288,0.001288
90,28904.5,0.16933,0.20078,0.11129,0.81056,0.99998,1,0.995,0.99493,0.99998,1,0.995,0.99422,0.08258,0.14395,0.05832,0.75751,0.001189,0.001189,0.001189
91,29196.5,0.11401,0.16053,0.08077,0.78032,0.99998,1,0.995,0.99493,0.99998,1,0.995,0.99422,0.08222,0.14379,0.05814,0.75725,0.00109,0.00109,0.00109
92,29488.1,0.11246,0.15802,0.07918,0.77806,0.99998,1,0.995,0.99494,0.99998,1,0.995,0.99425,0.08173,0.14352,0.05793,0.75716,0.000991,0.000991,0.000991
93,29779.7,0.11212,0.15896,0.07922,0.77662,0.99998,1,0.995,0.99493,0.99998,1,0.995,0.9942,0.0815,0.14347,0.05761,0.75716,0.000892,0.000892,0.000892
94,30071.8,0.11081,0.15765,0.07854,0.77781,0.99998,1,0.995,0.99493,0.99998,1,0.995,0.99423,0.08122,0.14346,0.05752,0.75722,0.000793,0.000793,0.000793
95,30363.8,0.11069,0.15746,0.07811,0.77852,0.99998,1,0.995,0.99493,0.99998,1,0.995,0.9942,0.08134,0.14345,0.05746,0.75728,0.000694,0.000694,0.000694
96,30656.2,0.10903,0.15741,0.07624,0.77732,0.99998,1,0.995,0.99492,0.99998,1,0.995,0.9942,0.0814,0.14335,0.05726,0.75727,0.000595,0.000595,0.000595
97,30948.2,0.10815,0.15593,0.07467,0.77744,0.99998,1,0.995,0.99492,0.99998,1,0.995,0.99421,0.08168,0.14335,0.05767,0.75723,0.000496,0.000496,0.000496
98,31239.9,0.10667,0.15514,0.07386,0.77867,0.99998,1,0.995,0.99493,0.99998,1,0.995,0.99421,0.08181,0.14331,0.05758,0.75711,0.000397,0.000397,0.000397
99,31531.7,0.10569,0.15594,0.07223,0.77603,0.99998,1,0.995,0.99492,0.99998,1,0.995,0.99423,0.08163,0.14323,0.058,0.75706,0.000298,0.000298,0.000298
100,31832.4,0.10568,0.15588,0.07053,0.7761,0.99998,1,0.995,0.99492,0.99998,1,0.995,0.99425,0.0815,0.14315,0.05785,0.75701,0.000199,0.000199,0.000199
